DVD_Title|Studio|Released|Price|Rating|Year|Genre|DVD_ReleaseDate|ID
Coach Carter (Paramount/ Widescreen/ Blu-ray/ Checkpoint/ Old Version)|Paramount||29.99|PG-13|2005|Drama|2008-12-16 00:00:00|240240
Coach Carter (Paramount/ Widescreen/ Blu-ray/ Old Version)|Paramount||29.99|PG-13|2005|Drama|2008-12-16 00:00:00|146150
Coach Carter (Paramount/ Widescreen/ Checkpoint)|Paramount||29.99|PG-13|2005|Drama|2005-06-21 00:00:00|63057
Coach Carter (Paramount/ Widescreen/ Temporary Price Reduction)|Paramount||7.98|PG-13|2005|Drama|2009-06-30 00:00:00|163652
Coach Carter (Paramount/ Widescreen/ Temporary Price Reduction/ Old Version)|Paramount||9.99|PG-13|2005|Drama|2008-11-18 00:00:00|148850
Coach Carter (Paramount/ Widescreen/ UMD)|Paramount||29.95|PG-13|2005|Drama|2005-08-09 00:00:00|66531
Coach Carter (Paramount/ Widescreen/ UMD/ Checkpoint)|Paramount||29.95|PG-13|2005|Drama|2005-08-09 00:00:00|240669
Coach Carter (Warner Brothers)|Warner Brothers||5.97|PG-13|2005|Drama|2013-01-08 00:00:00|239004
Coach Carter (Warner Brothers/ Blu-ray)|Warner Brothers||14.97|PG-13|2005|Drama|2013-01-08 00:00:00|238996
Coach Coz And The Kid Crew|Fun Train||17.95|NR|UNK|Family|2003-07-08 00:00:00|31268
Coach Of The Year (BCI Eclipse / Brentwood/ Old Version)|BCI Eclipse / Brentwood||4.98|NR|1980|Drama|2001-03-20 00:00:00|20914
Coach Of The Year (Brentwood)|Brentwood||3.98|NR|1980|Drama|2005-02-15 00:00:00|60732
Coach Of The Year (Digiview Entertainment)|Digiview Entertainment||2.5|NR|1980|Drama|2004-01-01 00:00:00|87632
Coach Of The Year (Direct Source) / The Boxer (1971)|Direct Source||5.99|NR|VAR|Drama|2002-12-03 00:00:00|22152
Coach Of The Year (Miracle Pictures) / Hard Knox|Miracle Pictures||4.99|NR|VAR|Drama|2005-10-25 00:00:00|72052
Coach Tyranny: Sowing The Seeds Of Victory!|Bridgestone Group||6.98|NR|UNK|Animation|2010-07-31 00:00:00|188309
Coach Tyranny: Tough Love|Bridgestone Group||6.98|NR|UNK|Family|2011-04-05 00:00:00|199023
Coach Yourself To Success|Salient Media||17.95|NR|UNK|Special Interest|2005-10-01 00:00:00|97668
Coach: Nick Bollettieri|Synkronized||9.98|NR|UNK|Special Interest|2004-01-01 00:00:00|60570
Coachella: The Film (2-Disc)|Epitaph Video||29.99|R|2006|Documentary|2006-04-18 00:00:00|79447
Coaches Guide To Attacking The Defense|Coaches Choice||99.95|NR|UNK|Special Interest|2006-03-07 00:00:00|82420
Coaches' Guide To Winning The Mental Game (Book w/ DVD/CD Combo)|Coaches Choice||24.95|NR|UNK|Special Interest|2009-06-19 00:00:00|163126
Coaching And Counselling|Alexander Street Press||109|NR|UNK|Special Interest|2013-09-17 00:00:00|253340
Coaching And Teaching In The Iron Age|Coaches Choice||40|NR|UNK|Special Interest|2007-05-22 00:00:00|112689
Coaching De PNL (Book w/ DVD)|Gaia Ediciones||46.95|NR|2010|Special Interest|2010-06-01 00:00:00|194037
Coaching Defensive Backs For Youth Football|Coaches Choice||40|NR|UNK|Special Interest|2007-09-25 00:00:00|119603
Coaching Defensive Lineman For Youth Football|Coaches Choice||40|NR|UNK|Special Interest|2007-09-25 00:00:00|119559
Coaching Defensive Linemen: A Weekly Checklist|Coaches Choice||40|NR|2009|Special Interest|2009-09-01 00:00:00|166286
Coaching Discus Technique|Coaches Choice||40|NR|UNK|Special Interest|2008-03-25 00:00:00|133598
Coaching Effective Screen Passes|Coaches Choice||40|NR|UNK|Special Interest|2007-03-06 00:00:00|106536
Coaching Football's 46 Defense|Coaches Choice||99.95|NR|UNK|Special Interest|2004-12-21 00:00:00|57341
Coaching Football's Zone Offense|Coaches Choice||99.95|NR|UNK|Special Interest|2006-03-07 00:00:00|82488
Coaching For Commitment Workshop: Facilitator Guide (Book w/ DVD)|Pfeiffer||159|NR|2007|Special Interest|2007-12-21 00:00:00|196925
Coaching Great Quarterback Play|Coaches Choice||40|NR|2009|Special Interest|2009-06-23 00:00:00|161730
Coaching Individual Volleyball Skills And Techniques|Coaches Choice||99.95|NR|UNK|Special Interest|2006-03-07 00:00:00|82474
Coaching Inside Linebackers For Youth Football|Coaches Choice||40|NR|UNK|Special Interest|2007-09-25 00:00:00|119637
Coaching Inside Linebackers In The Split 4-4 Defense|Coaches Choice||40|NR|UNK|Special Interest|2008-03-25 00:00:00|134148
Coaching Long Snappers|Coaches Choice||49.95|NR|UNK|Special Interest|2006-03-07 00:00:00|82461
Coaching Offensive Linemen|Coaches Choice||40|NR|UNK|Special Interest|2006-03-07 00:00:00|82478
Coaching Offensive Linemen For Youth Football|Coaches Choice||40|NR|UNK|Special Interest|2007-09-25 00:00:00|119553
Coaching Outside Linebackers/Defensive Ends For Youth Football|Coaches Choice||40|NR|2007|Special Interest|2008-05-27 00:00:00|138016
Coaching Pocket Presence|Coaches Choice||40|NR|UNK|Special Interest|2008-03-25 00:00:00|134117
Coaching Psychology For Health, Fitness, And Mental Health Professionals|Coaches Choice||199.95|NR|UNK|Special Interest|2007-01-30 00:00:00|100415
